name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id
Malheur 6 25 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e5b2db6100419ea271a9a68ebb07c231d84c8e29_BBO038738_1.png,3,48,6,2,3
Saint Bernardus Extra 4 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2086b430845f1df84544968df3310136b20f9b78_BBO038892_1.png,3,48,4.8,2,3
Mini-fût Leffe D'Eté 6L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c52e0886fd342f2a35e33e2b87e611c76ec3832b_BMI033463_1.png,3,48,5.2,2,3
Nitro Blonde 30 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/104b5a26e17014c9395bdec323861e4a53f9f3e0_BCA038409_1.png,3,48,6.5,2,3
Maredsous 6 Blonde 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a51d4855472dd34c3c47b4bdebec59f49f0c35a6_BBO038516_1.png,3,48,6.5,2,3
"Duvel 6,66 % 33cl",https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/477d475e7942b88a63dc0496acf1929593afbc41_BBO038261_1.png,3,48,6.66 ,2,3
Corsendonk Blonde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c3ebe4cf9ece809d7b94b17b7510fc48003bf76e_BBO037873_1.png,3,48,6.5,2,3
Mini-fût Cuvée des Trolls 5L,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0a891a7ff99bbd11ef4ffcd3fe47c60cc7cfc00f_BMI032209_1.png,3,48,7,2,3
Maredsous 6 Blonde 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/32a6aa1c0b6a0e4721af20a1f8e8cdffd69678e1_BBO037669_1.png,3,48,6.5,2,3
Legends Harmony 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/898ec33f366964dd3337d65de9091fd5ce43ae75_BBO033915_1.png,3,48,5.7,2,3
Corsendonk Grand Hops  33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8d2960c17d359252bd339c4936fcf71d9b76b054_BBO030484_1.png,3,48,6.9,2,3
Goliath Blonde 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e068cafbaf177ea61b5c3dfa22fa8e3b2191564c_BBO036938_1.png,3,48,6,2,3
Lupulus Hopera 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/9187da2d64f5e177a595452a2d638148a6ad8b67_BBO037400_1.png,3,48,6,2,3
Saint Feuillien Five 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a34b4cb78802070a62154f54f121de632b2e5116_BBO037137_1.png,3,48,5,2,3
Moinette 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c448c7b7a90a941f101ead42da746f5e3f84a7ad_BBO033368_1.png,3,48,7.5,2,3
