name,image_url,user_id,beer_family_id,typical_beer_id
St-Feuillien | Grand Cru | 33 cl,https://bieronomy.com/13954-home_default/st-feuillien-grand-cru-33-cl.jpg,2,3,51
The Musketeers Troubadour Magma Belgian IPA 33 cl,https://bieronomy.com/13956-home_default/the-musketeers-troubadour-magma-belgian-ipa-33-cl.jpg,2,3,69
De Ranke - Kriek 75 cl,https://bieronomy.com/12925-home_default/de-ranke-kriek-75-cl.jpg,2,3,44
Brasserie Veyrat - La Liberté Blonde Bio 75 cl,https://bieronomy.com/24526-home_default/brasserie-veyrat-la-liberte-blonde-bio-75-cl.jpg,2,3,50
Thiriez - La Thiriez Triple Bio 33 cl,https://bieronomy.com/21406-home_default/thiriez-la-thiriez-triple-bio-33-cl.jpg,2,3,54
Abbaye des Rocs Blanche Des Honnelles Witbier 33 cl,https://bieronomy.com/13874-home_default/abbaye-des-rocs-blanche-des-honnelles-witbier-33-cl.jpg,1,3,47
Mont Des Cats | Ambrée Trappiste | 75 cl,https://bieronomy.com/22969-home_default/mont-des-cats-ambree-trappiste-75-cl.jpg,2,3,48
Mont des Cats Ambrée Trappiste 33 cl,https://bieronomy.com/14560-home_default/mont-des-cats-ambree-trappiste-33-cl.jpg,2,3,48
Chimay Dorée Blonde Patersbier 33 cl Abbaye de Scourmont,https://bieronomy.com/13894-home_default/chimay-doree-blonde-patersbier-33-cl-abbaye-de-scourmont.jpg,2,3,48
Val Dieu Brune Belgian Dubbel 33 cl,https://bieronomy.com/13960-home_default/val-dieu-brune-belgian-dubbel-33-cl.jpg,2,3,53
Val Dieu Blonde 33 cl,https://bieronomy.com/12952-home_default/val-dieu-blonde-33-cl.jpg,2,3,48
Val Dieu - Triple Belgian Tripel 33 cl,https://bieronomy.com/13958-home_default/val-dieu-triple-belgian-tripel-33-cl.jpg,2,3,54
Dupont Saison Dupont Biologique 33 cl,https://bieronomy.com/23127-home_default/dupont-saison-dupont-biologique-33-cl.jpg,2,3,51
St Bernardus Wit Wheat Beer 33 cl,https://bieronomy.com/23236-home_default/st-bernardus-wit-wheat-beer-33-cl.jpg,1,3,47
Pays Flamand - La Fière Blonde 75 cl,https://bieronomy.com/24289-home_default/pays-flamand-la-fiere-blonde-75-cl.jpg,2,3,48
Elixkir - Triple Sans Foi ni Loi 66 cl,https://bieronomy.com/23119-home_default/elixkir-triple-sans-foi-ni-loi-66-cl.jpg,2,3,54
Elixkir - Triple Sans Foi ni Loi 33 cl,https://bieronomy.com/23117-home_default/elixkir-triple-sans-foi-ni-loi-33-cl.jpg,2,3,54
Elixkir - Blanche La Loi de Darcy 66 cl,https://bieronomy.com/21021-home_default/elixkir-blanche-la-loi-de-darcy-66-cl.jpg,1,3,47
Elixkir | Blanche La Loi de Darcy | 33 cl,https://bieronomy.com/21014-home_default/elixkir-blanche-la-loi-de-darcy-33-cl.jpg,1,3,47
Elixkir | Ambrée La Rude École | 66 cl,https://bieronomy.com/21022-home_default/elixkir-ambree-la-rude-ecole-66-cl.jpg,2,3,50
Elixkir | Ambrée La Rude École | 33 cl,https://bieronomy.com/21015-home_default/elixkir-ambree-la-rude-ecole-33-cl.jpg,2,3,50
Elixkir - Blonde Le Péché du Chanoine 66 cl,https://bieronomy.com/21018-home_default/elixkir-blonde-le-peche-du-chanoine-66-cl.jpg,2,3,50
Elixkir - Blonde Le Péché du Chanoine 33 cl,https://bieronomy.com/21016-home_default/elixkir-blonde-le-peche-du-chanoine-33-cl.jpg,2,3,50
Orval 33 cl,https://bieronomy.com/8070-home_default/orval-33-cl.jpg,2,3,50
Blonde Belgian Tripel 75 cl Lupulus,https://bieronomy.com/13993-home_default/blonde-belgian-tripel-75-cl-lupulus.jpg,2,3,54
Brasserie des Légendes Quintine Blonde 33 cl,https://bieronomy.com/13921-home_default/brasserie-des-legendes-quintine-blonde-33-cl.jpg,2,3,50
Thiriez | La Blonde d'Esquelbecq | 33 cl,https://bieronomy.com/21394-home_default/thiriez-la-blonde-d-esquelbecq-33-cl.jpg,2,3,51
Dupont Saison Dupont 33 cl,https://bieronomy.com/13911-home_default/dupont-saison-dupont-33-cl.jpg,2,3,51
Chimay Bleue 33 cl Abbaye de Scourmont,https://bieronomy.com/12921-home_default/chimay-bleue-33-cl-abbaye-de-scourmont.jpg,2,3,54
Westmalle Trappist Tripel 75 cl,https://bieronomy.com/13962-home_default/westmalle-trappist-tripel-75-cl.jpg,2,3,54
Thiriez - La Rouge Flamande Ambrée 33 cl,https://bieronomy.com/21403-home_default/thiriez-la-rouge-flamande-ambree-33-cl.jpg,2,3,43
Dupont Saison Dupont 75 cl,https://bieronomy.com/12931-home_default/dupont-saison-dupont-75-cl.jpg,2,3,51
Chimay Rouge Belgian Dubbel 33 cl Abbaye de Scourmont,https://bieronomy.com/13890-home_default/chimay-rouge-belgian-dubbel-33-cl-abbaye-de-scourmont.jpg,2,3,53
Trappistes Rochefort 10 Belgian Quadrupel 33 cl,https://bieronomy.com/12974-home_default/trappistes-rochefort-10-belgian-quadrupel-33-cl.jpg,2,3,77
