name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id,heroku 
Jever Pilsener 50cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4f645b2cf110a75c7a332e8771596edb52fcc296_BBO031986_1.png,3,7,4.9,2,10,
Bitburger 50cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e95f70e90b6865a56c392e718cb159d66b39305d_BBO030272_1.png,3,7,4.8,2,10,
Beck's 50cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6fe48a596d62e602966bded4fb7d3eef3e3e1ab8_BBO030222_1.png,3,7,4.9,2,10,
Beck's 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c1258a0c539013905cb35848e2a019928c710d85_BBO030221_1.png,3,7,4.9,2,10,
Hide and Seek 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/58e5ca75bf2f5757713f8df62a496ca07fd33919_BCA044315_1.png,1,32,8,2,8,
Guinness West Indies Porter 50 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/d4c879fbcf823527fe6ba1d90385742c0a1ec790_BBO041521_1.png,7,32,6,2,8,
Java Porter 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/2cfbe003a4272d1347f825b4eefda784acfa4611_BCA039021_1.png,1,32,5,2,8,
Dernière Récolte 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/599e5c9acc38513aefdde2dd30b25298f0b61a46_BBO039344_1.png,1,32,8.2,2,8,
Pablo's Coffee Porter 35cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c248843546ca5b486625c9d6858ea76f76c14a01_BCA038131_1.png,1,32,6.5,2,8,
Nitro Quad 30 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/e39f9a408d76c1b423cb74260770bdcae8ce2fc7_BCA038408_1.png,1,32,5.7,2,8,
Peanut Butter Graham Cracker Porter 35cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/cef7babf860f0cd8ef0de7687df131a15808b6a7_BCA038092_1.png,1,32,5.6,2,8,
Dark Sea Porter 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/acdf50659fb33696028024df4c03d1628d781936_BBO037827_1.png,1,32,7.1,2,8,
Graham Cracker 35cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c46ccd2ac581104e24d4d7e329ff6e44da073f03_BBO035477_1.png,1,32,5.6,2,8,
Every Day Carry 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f82e046d0790134bbb4a1d43b58eeb9ce50fb91f_BCA036677_1.png,1,32,5,2,8,
Val Dieu Grand Cru 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c97b2f15c7f18ccb4505f1fdb70f6956a202c646_BBO044377_1.png,7,77,10.5,2,19,
La Trappe X Brewdog Practise What You Preach 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/cb52b546db0aaccc0d4536bce89838dc852e20e9_BBO041848_1.png,5,77,10,2,19,
La Trappe X Brewdog Practise What You Preach 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/ef91121c909ebcb559de71c4a092ee4f453f5e5c_BBO041561_1.png,5,77,10,2,19,
Malheur 12 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/43efdb363d62edc18950ef3cd83a9a97b1f71b79_BBO041112_1.png,7,77,11.5,2,19,
La Corne du Bois des Pendus Quadruple 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6e9f20383bf3dec84b2a4315ad9e850359fdb36e_BBO039260_1.png,7,77,12,2,19,
Saint Feuillien Quadruple 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/c63af1a67e36ba89b12651ac1f380c0cc0dbae6a_BBO041111_1.png,7,77,11,2,19,
"Magnum Saint Bernardus Abt 12 Edition 2021 1,5l",https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6fc18ca45dc2c268f7b7cd58f64808e28781af2d_BBO038373_1.png,7,77,10,2,19,
Contenu Explicite 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/541cf4c2b8392f1eb9effae08b935af6d59e1a64_13873BBO037564.png,5,77,10,2,19,
"Magnum Trappe Quadrupel 1,5l",https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/71d6991253b97514d018b7d82245c882ce975077_BBO037501_1.png,5,77,10,2,19,
